BER,n,k,Bit Errors
1e-06,15,7,25
1e-06,31,16,36
1e-06,63,32,34
1e-06,127,64,62
1.6237767391887209e-06,15,7,17
1.6237767391887209e-06,31,16,39
1.6237767391887209e-06,63,32,42
1.6237767391887209e-06,127,64,43
2.6366508987303555e-06,15,7,31
2.6366508987303555e-06,31,16,56
2.6366508987303555e-06,63,32,48
2.6366508987303555e-06,127,64,45
4.281332398719396e-06,15,7,37
4.281332398719396e-06,31,16,33
4.281332398719396e-06,63,32,49
4.281332398719396e-06,127,64,69
6.951927961775606e-06,15,7,39
6.951927961775606e-06,31,16,42
6.951927961775606e-06,63,32,42
6.951927961775606e-06,127,64,58
1.1288378916846883e-05,15,7,32
1.1288378916846883e-05,31,16,43
1.1288378916846883e-05,63,32,45
1.1288378916846883e-05,127,64,45
1.8329807108324375e-05,15,7,33
1.8329807108324375e-05,31,16,39
1.8329807108324375e-05,63,32,34
1.8329807108324375e-05,127,64,49
2.9763514416313192e-05,15,7,33
2.9763514416313192e-05,31,16,48
2.9763514416313192e-05,63,32,55
2.9763514416313192e-05,127,64,57
4.8329302385717524e-05,15,7,28
4.8329302385717524e-05,31,16,44
4.8329302385717524e-05,63,32,33
4.8329302385717524e-05,127,64,45
7.847599703514606e-05,15,7,39
7.847599703514606e-05,31,16,53
7.847599703514606e-05,63,32,49
7.847599703514606e-05,127,64,55
0.00012742749857031334,15,7,35
0.00012742749857031334,31,16,46
0.00012742749857031334,63,32,56
0.00012742749857031334,127,64,59
0.00020691380811147902,15,7,30
0.00020691380811147902,31,16,39
0.00020691380811147902,63,32,38
0.00020691380811147902,127,64,49
0.0003359818286283781,15,7,37
0.0003359818286283781,31,16,54
0.0003359818286283781,63,32,38
0.0003359818286283781,127,64,43
0.0005455594781168515,15,7,21
0.0005455594781168515,31,16,36
0.0005455594781168515,63,32,42
0.0005455594781168515,127,64,52
0.0008858667904100823,15,7,25
0.0008858667904100823,31,16,35
0.0008858667904100823,63,32,55
0.0008858667904100823,127,64,43
0.0014384498882876629,15,7,32
0.0014384498882876629,31,16,39
0.0014384498882876629,63,32,56
0.0014384498882876629,127,64,38
0.002335721469090121,15,7,26
0.002335721469090121,31,16,38
0.002335721469090121,63,32,44
0.002335721469090121,127,64,40
0.003792690190732246,15,7,26
0.003792690190732246,31,16,36
0.003792690190732246,63,32,42
0.003792690190732246,127,64,51
0.00615848211066026,15,7,30
0.00615848211066026,31,16,37
0.00615848211066026,63,32,57
0.00615848211066026,127,64,50
0.01,15,7,29
0.01,31,16,26
0.01,63,32,62
0.01,127,64,56
