BER,n,k,Bit Errors
1e-06,15,7,7
1e-06,31,16,13
1e-06,63,32,16
1e-06,127,64,13
1.6237767391887209e-06,15,7,6
1.6237767391887209e-06,31,16,12
1.6237767391887209e-06,63,32,8
1.6237767391887209e-06,127,64,15
2.6366508987303555e-06,15,7,7
2.6366508987303555e-06,31,16,5
2.6366508987303555e-06,63,32,16
2.6366508987303555e-06,127,64,17
4.281332398719396e-06,15,7,12
4.281332398719396e-06,31,16,9
4.281332398719396e-06,63,32,6
4.281332398719396e-06,127,64,12
6.951927961775606e-06,15,7,6
6.951927961775606e-06,31,16,9
6.951927961775606e-06,63,32,15
6.951927961775606e-06,127,64,14
1.1288378916846883e-05,15,7,7
1.1288378916846883e-05,31,16,6
1.1288378916846883e-05,63,32,13
1.1288378916846883e-05,127,64,6
1.8329807108324375e-05,15,7,5
1.8329807108324375e-05,31,16,7
1.8329807108324375e-05,63,32,7
1.8329807108324375e-05,127,64,11
2.9763514416313192e-05,15,7,13
2.9763514416313192e-05,31,16,5
2.9763514416313192e-05,63,32,14
2.9763514416313192e-05,127,64,14
4.8329302385717524e-05,15,7,9
4.8329302385717524e-05,31,16,2
4.8329302385717524e-05,63,32,17
4.8329302385717524e-05,127,64,14
7.847599703514606e-05,15,7,3
7.847599703514606e-05,31,16,16
7.847599703514606e-05,63,32,10
7.847599703514606e-05,127,64,10
0.00012742749857031334,15,7,8
0.00012742749857031334,31,16,6
0.00012742749857031334,63,32,15
0.00012742749857031334,127,64,14
0.00020691380811147902,15,7,9
0.00020691380811147902,31,16,18
0.00020691380811147902,63,32,8
0.00020691380811147902,127,64,8
0.0003359818286283781,15,7,6
0.0003359818286283781,31,16,7
0.0003359818286283781,63,32,19
0.0003359818286283781,127,64,18
0.0005455594781168515,15,7,3
0.0005455594781168515,31,16,5
0.0005455594781168515,63,32,14
0.0005455594781168515,127,64,8
0.0008858667904100823,15,7,11
0.0008858667904100823,31,16,4
0.0008858667904100823,63,32,12
0.0008858667904100823,127,64,13
0.0014384498882876629,15,7,6
0.0014384498882876629,31,16,4
0.0014384498882876629,63,32,10
0.0014384498882876629,127,64,17
0.002335721469090121,15,7,7
0.002335721469090121,31,16,13
0.002335721469090121,63,32,12
0.002335721469090121,127,64,22
0.003792690190732246,15,7,8
0.003792690190732246,31,16,10
0.003792690190732246,63,32,9
0.003792690190732246,127,64,8
0.00615848211066026,15,7,7
0.00615848211066026,31,16,12
0.00615848211066026,63,32,23
0.00615848211066026,127,64,17
0.01,15,7,1
0.01,31,16,9
0.01,63,32,10
0.01,127,64,10
