BER,n,k,t,Bit Errors
0.003792690190732246,15,7,2,82
0.003792690190732246,15,5,3,76
0.003792690190732246,31,26,1,42
0.003792690190732246,31,11,4,90
0.003792690190732246,63,57,1,23
0.003792690190732246,63,39,5,20
0.003792690190732246,127,120,1,0
0.003792690190732246,127,50,6,92
0.00615848211066026,7,4,1,80
0.00615848211066026,15,11,1,91
0.00615848211066026,15,7,2,82
0.00615848211066026,15,5,3,76
0.00615848211066026,31,26,1,42
0.00615848211066026,31,11,4,90
0.00615848211066026,63,57,1,20
0.00615848211066026,63,39,5,20
0.00615848211066026,127,120,1,0
0.00615848211066026,127,50,6,92
0.01,7,4,1,82
0.01,15,11,1,90
0.01,15,7,2,86
0.01,15,5,3,74
0.01,31,26,1,42
0.01,31,11,4,90
0.01,63,57,1,31
0.01,63,39,5,20
0.01,127,120,1,70
0.01,127,50,6,92
