BER,n,k,t,Bit Errors
1e-06,7,4,1,71
1e-06,15,11,1,70
1e-06,15,7,2,76
1e-06,15,5,3,57
1e-06,31,26,1,73
1e-06,31,11,4,64
1e-06,63,57,1,90
1e-06,63,39,5,78
1e-06,127,120,1,135
1e-06,127,50,6,56
1.6237767391887209e-06,7,4,1,75
1.6237767391887209e-06,15,11,1,66
1.6237767391887209e-06,15,7,2,76
1.6237767391887209e-06,15,5,3,57
1.6237767391887209e-06,31,26,1,69
1.6237767391887209e-06,31,11,4,64
1.6237767391887209e-06,63,57,1,86
1.6237767391887209e-06,63,39,5,62
1.6237767391887209e-06,127,120,1,133
1.6237767391887209e-06,127,50,6,56
2.6366508987303555e-06,7,4,1,71
2.6366508987303555e-06,15,11,1,75
2.6366508987303555e-06,15,7,2,76
2.6366508987303555e-06,15,5,3,56
2.6366508987303555e-06,31,26,1,50
2.6366508987303555e-06,31,11,4,64
2.6366508987303555e-06,63,57,1,93
2.6366508987303555e-06,63,39,5,70
2.6366508987303555e-06,127,120,1,133
2.6366508987303555e-06,127,50,6,56
4.281332398719396e-06,7,4,1,75
4.281332398719396e-06,15,11,1,64
4.281332398719396e-06,15,7,2,76
4.281332398719396e-06,15,5,3,55
4.281332398719396e-06,31,26,1,57
4.281332398719396e-06,31,11,4,65
4.281332398719396e-06,63,57,1,88
4.281332398719396e-06,63,39,5,64
4.281332398719396e-06,127,120,1,134
4.281332398719396e-06,127,50,6,56
6.951927961775606e-06,7,4,1,69
6.951927961775606e-06,15,11,1,64
6.951927961775606e-06,15,7,2,76
6.951927961775606e-06,15,5,3,57
6.951927961775606e-06,31,26,1,56
6.951927961775606e-06,31,11,4,64
6.951927961775606e-06,63,57,1,82
6.951927961775606e-06,63,39,5,63
6.951927961775606e-06,127,120,1,125
6.951927961775606e-06,127,50,6,56
1.1288378916846883e-05,7,4,1,70
1.1288378916846883e-05,15,11,1,69
1.1288378916846883e-05,15,7,2,79
1.1288378916846883e-05,15,5,3,56
1.1288378916846883e-05,31,26,1,53
1.1288378916846883e-05,31,11,4,64
1.1288378916846883e-05,63,57,1,96
1.1288378916846883e-05,63,39,5,60
1.1288378916846883e-05,127,120,1,136
1.1288378916846883e-05,127,50,6,53
1.8329807108324375e-05,7,4,1,71
1.8329807108324375e-05,15,11,1,70
1.8329807108324375e-05,15,7,2,79
1.8329807108324375e-05,15,5,3,57
1.8329807108324375e-05,31,26,1,62
1.8329807108324375e-05,31,11,4,64
1.8329807108324375e-05,63,57,1,104
1.8329807108324375e-05,63,39,5,66
1.8329807108324375e-05,127,120,1,137
