BER,n,k,t,Bit Errors
1e-06,7,4,1,0
1e-06,15,11,1,0
1e-06,15,7,2,0
1e-06,15,5,3,0
1e-06,31,26,1,0
1e-06,31,11,4,0
1e-06,63,57,1,5
1e-06,63,39,5,0
1e-06,127,120,1,9
1e-06,127,50,6,0
1.6237767391887209e-06,7,4,1,0
1.6237767391887209e-06,15,11,1,0
1.6237767391887209e-06,15,7,2,0
1.6237767391887209e-06,15,5,3,0
1.6237767391887209e-06,31,26,1,0
1.6237767391887209e-06,31,11,4,0
1.6237767391887209e-06,63,57,1,3
1.6237767391887209e-06,63,39,5,0
1.6237767391887209e-06,127,120,1,4
1.6237767391887209e-06,127,50,6,0
2.6366508987303555e-06,7,4,1,0
2.6366508987303555e-06,15,11,1,3
2.6366508987303555e-06,15,7,2,0
2.6366508987303555e-06,15,5,3,0
2.6366508987303555e-06,31,26,1,5
2.6366508987303555e-06,31,11,4,0
2.6366508987303555e-06,63,57,1,0
2.6366508987303555e-06,63,39,5,0
2.6366508987303555e-06,127,120,1,4
2.6366508987303555e-06,127,50,6,0
4.281332398719396e-06,7,4,1,3
4.281332398719396e-06,15,11,1,3
4.281332398719396e-06,15,7,2,1
4.281332398719396e-06,15,5,3,0
4.281332398719396e-06,31,26,1,0
4.281332398719396e-06,31,11,4,0
4.281332398719396e-06,63,57,1,5
4.281332398719396e-06,63,39,5,0
4.281332398719396e-06,127,120,1,9
4.281332398719396e-06,127,50,6,0
6.951927961775606e-06,7,4,1,0
6.951927961775606e-06,15,11,1,0
6.951927961775606e-06,15,7,2,0
6.951927961775606e-06,15,5,3,0
6.951927961775606e-06,31,26,1,2
6.951927961775606e-06,31,11,4,0
6.951927961775606e-06,63,57,1,5
6.951927961775606e-06,63,39,5,2
6.951927961775606e-06,127,120,1,14
6.951927961775606e-06,127,50,6,0
1.1288378916846883e-05,7,4,1,0
1.1288378916846883e-05,15,11,1,0
1.1288378916846883e-05,15,7,2,0
1.1288378916846883e-05,15,5,3,0
1.1288378916846883e-05,31,26,1,0
1.1288378916846883e-05,31,11,4,0
1.1288378916846883e-05,63,57,1,0
1.1288378916846883e-05,63,39,5,0
1.1288378916846883e-05,127,120,1,6
1.1288378916846883e-05,127,50,6,0
1.8329807108324375e-05,7,4,1,0
1.8329807108324375e-05,15,11,1,0
1.8329807108324375e-05,15,7,2,0
1.8329807108324375e-05,15,5,3,0
1.8329807108324375e-05,31,26,1,2
1.8329807108324375e-05,31,11,4,0
1.8329807108324375e-05,63,57,1,5
1.8329807108324375e-05,63,39,5,0
1.8329807108324375e-05,127,120,1,9
1.8329807108324375e-05,127,50,6,0
2.9763514416313192e-05,7,4,1,0
2.9763514416313192e-05,15,11,1,0
2.9763514416313192e-05,15,7,2,0
2.9763514416313192e-05,15,5,3,0
2.9763514416313192e-05,31,26,1,0
2.9763514416313192e-05,31,11,4,0
2.9763514416313192e-05,63,57,1,5
2.9763514416313192e-05,63,39,5,0
2.9763514416313192e-05,127,120,1,11
2.9763514416313192e-05,127,50,6,0
4.8329302385717524e-05,7,4,1,0
4.8329302385717524e-05,15,11,1,0
4.8329302385717524e-05,15,7,2,0
4.8329302385717524e-05,15,5,3,0
4.8329302385717524e-05,31,26,1,0
4.8329302385717524e-05,31,11,4,0
4.8329302385717524e-05,63,57,1,0
4.8329302385717524e-05,63,39,5,4
4.8329302385717524e-05,127,120,1,4
4.8329302385717524e-05,127,50,6,0
7.847599703514606e-05,7,4,1,0
7.847599703514606e-05,15,11,1,2
7.847599703514606e-05,15,7,2,0
7.847599703514606e-05,15,5,3,0
7.847599703514606e-05,31,26,1,3
7.847599703514606e-05,31,11,4,0
7.847599703514606e-05,63,57,1,7
7.847599703514606e-05,63,39,5,4
7.847599703514606e-05,127,120,1,6
7.847599703514606e-05,127,50,6,0
