BER,n,k,t,Bit Errors
1e-06,7,4,1,70
1e-06,15,11,1,64
1e-06,15,7,2,76
1e-06,15,5,3,56
1e-06,31,26,1,48
1e-06,31,11,4,64
1e-06,63,57,1,82
1e-06,63,39,5,62
1e-06,127,120,1,124
1e-06,127,50,6,56
1.6237767391887209e-06,7,4,1,70
1.6237767391887209e-06,15,11,1,64
1.6237767391887209e-06,15,7,2,76
1.6237767391887209e-06,15,5,3,56
1.6237767391887209e-06,31,26,1,48
1.6237767391887209e-06,31,11,4,64
1.6237767391887209e-06,63,57,1,82
1.6237767391887209e-06,63,39,5,62
1.6237767391887209e-06,127,120,1,124
1.6237767391887209e-06,127,50,6,56
2.6366508987303555e-06,7,4,1,70
2.6366508987303555e-06,15,11,1,64
2.6366508987303555e-06,15,7,2,76
2.6366508987303555e-06,15,5,3,56
2.6366508987303555e-06,31,26,1,48
2.6366508987303555e-06,31,11,4,64
2.6366508987303555e-06,63,57,1,82
2.6366508987303555e-06,63,39,5,62
2.6366508987303555e-06,127,120,1,124
2.6366508987303555e-06,127,50,6,56
4.281332398719396e-06,7,4,1,70
4.281332398719396e-06,15,11,1,64
4.281332398719396e-06,15,7,2,76
4.281332398719396e-06,15,5,3,56
4.281332398719396e-06,31,26,1,48
4.281332398719396e-06,31,11,4,64
4.281332398719396e-06,63,57,1,82
4.281332398719396e-06,63,39,5,62
4.281332398719396e-06,127,120,1,124
4.281332398719396e-06,127,50,6,56
6.951927961775606e-06,7,4,1,70
6.951927961775606e-06,15,11,1,64
6.951927961775606e-06,15,7,2,76
6.951927961775606e-06,15,5,3,56
6.951927961775606e-06,31,26,1,48
6.951927961775606e-06,31,11,4,64
6.951927961775606e-06,63,57,1,82
6.951927961775606e-06,63,39,5,62
6.951927961775606e-06,127,120,1,124
6.951927961775606e-06,127,50,6,56
1.1288378916846883e-05,7,4,1,70
1.1288378916846883e-05,15,11,1,64
1.1288378916846883e-05,15,7,2,76
1.1288378916846883e-05,15,5,3,56
1.1288378916846883e-05,31,26,1,48
1.1288378916846883e-05,31,11,4,64
1.1288378916846883e-05,63,57,1,82
1.1288378916846883e-05,63,39,5,62
1.1288378916846883e-05,127,120,1,124
1.1288378916846883e-05,127,50,6,56
1.8329807108324375e-05,7,4,1,70
1.8329807108324375e-05,15,11,1,64
1.8329807108324375e-05,15,7,2,76
1.8329807108324375e-05,15,5,3,56
1.8329807108324375e-05,31,26,1,48
1.8329807108324375e-05,31,11,4,64
1.8329807108324375e-05,63,57,1,82
1.8329807108324375e-05,63,39,5,62
1.8329807108324375e-05,127,120,1,124
1.8329807108324375e-05,127,50,6,56
2.9763514416313192e-05,7,4,1,70
2.9763514416313192e-05,15,11,1,64
2.9763514416313192e-05,15,7,2,76
2.9763514416313192e-05,15,5,3,56
2.9763514416313192e-05,31,26,1,48
2.9763514416313192e-05,31,11,4,64
2.9763514416313192e-05,63,57,1,82
2.9763514416313192e-05,63,39,5,62
2.9763514416313192e-05,127,120,1,124
2.9763514416313192e-05,127,50,6,56
4.8329302385717524e-05,7,4,1,70
4.8329302385717524e-05,15,11,1,64
4.8329302385717524e-05,15,7,2,76
4.8329302385717524e-05,15,5,3,56
4.8329302385717524e-05,31,26,1,48
4.8329302385717524e-05,31,11,4,64
4.8329302385717524e-05,63,57,1,82
4.8329302385717524e-05,63,39,5,62
4.8329302385717524e-05,127,120,1,124
4.8329302385717524e-05,127,50,6,56
7.847599703514606e-05,7,4,1,70
7.847599703514606e-05,15,11,1,64
7.847599703514606e-05,15,7,2,76
7.847599703514606e-05,15,5,3,56
7.847599703514606e-05,31,26,1,48
7.847599703514606e-05,31,11,4,64
7.847599703514606e-05,63,57,1,82
7.847599703514606e-05,63,39,5,62
7.847599703514606e-05,127,120,1,124
7.847599703514606e-05,127,50,6,56
0.00012742749857031334,7,4,1,70
0.00012742749857031334,15,11,1,64
0.00012742749857031334,15,7,2,76
0.00012742749857031334,15,5,3,56
0.00012742749857031334,31,26,1,48
0.00012742749857031334,31,11,4,64
0.00012742749857031334,63,57,1,82
0.00012742749857031334,63,39,5,62
0.00012742749857031334,127,120,1,124
0.00012742749857031334,127,50,6,56
0.00020691380811147902,7,4,1,70
0.00020691380811147902,15,11,1,64
0.00020691380811147902,15,7,2,76
0.00020691380811147902,15,5,3,56
0.00020691380811147902,31,26,1,48
0.00020691380811147902,31,11,4,64
0.00020691380811147902,63,57,1,82
0.00020691380811147902,63,39,5,62
0.00020691380811147902,127,120,1,124
0.00020691380811147902,127,50,6,56
0.0003359818286283781,7,4,1,70
0.0003359818286283781,15,11,1,64
0.0003359818286283781,15,7,2,76
0.0003359818286283781,15,5,3,56
0.0003359818286283781,31,26,1,48
0.0003359818286283781,31,11,4,64
0.0003359818286283781,63,57,1,82
