BER,n,k,t,Bit Errors
0.002335721469090121,31,26,1,16
0.002335721469090121,31,11,4,14
0.002335721469090121,63,57,1,0
0.002335721469090121,63,39,5,0
0.002335721469090121,127,120,1,0
0.002335721469090121,127,50,6,4
0.003792690190732246,7,4,1,10
0.003792690190732246,15,11,1,14
0.003792690190732246,15,7,2,8
0.003792690190732246,15,5,3,20
0.003792690190732246,31,26,1,16
0.003792690190732246,31,11,4,14
0.003792690190732246,63,57,1,0
0.003792690190732246,63,39,5,0
0.003792690190732246,127,120,1,0
0.003792690190732246,127,50,6,4
0.00615848211066026,7,4,1,10
0.00615848211066026,15,11,1,14
0.00615848211066026,15,7,2,8
0.00615848211066026,15,5,3,23
0.00615848211066026,31,26,1,16
0.00615848211066026,31,11,4,14
0.00615848211066026,63,57,1,0
0.00615848211066026,63,39,5,0
0.00615848211066026,127,120,1,0
0.00615848211066026,127,50,6,4
0.01,7,4,1,10
0.01,15,11,1,14
0.01,15,7,2,8
0.01,15,5,3,20
0.01,31,26,1,16
0.01,31,11,4,14
0.01,63,57,1,0
0.01,63,39,5,19
0.01,127,120,1,0
0.01,127,50,6,4
