BER,n,k,t,Bit Errors
1e-06,7,4,1,31
1e-06,15,11,1,30
1e-06,15,7,2,43
1e-06,15,5,3,30
1e-06,31,26,1,52
1e-06,31,11,4,30
1e-06,63,57,1,0
1e-06,63,39,5,36
1e-06,127,120,1,5
1e-06,127,50,6,14
1.6237767391887209e-06,7,4,1,31
1.6237767391887209e-06,15,11,1,30
1.6237767391887209e-06,15,7,2,44
1.6237767391887209e-06,15,5,3,30
1.6237767391887209e-06,31,26,1,51
1.6237767391887209e-06,31,11,4,33
1.6237767391887209e-06,63,57,1,7
1.6237767391887209e-06,63,39,5,39
1.6237767391887209e-06,127,120,1,3
1.6237767391887209e-06,127,50,6,14
2.6366508987303555e-06,7,4,1,31
2.6366508987303555e-06,15,11,1,30
2.6366508987303555e-06,15,7,2,39
2.6366508987303555e-06,15,5,3,30
2.6366508987303555e-06,31,26,1,50
2.6366508987303555e-06,31,11,4,30
2.6366508987303555e-06,63,57,1,13
2.6366508987303555e-06,63,39,5,41
2.6366508987303555e-06,127,120,1,6
2.6366508987303555e-06,127,50,6,17
4.281332398719396e-06,7,4,1,30
4.281332398719396e-06,15,11,1,32
4.281332398719396e-06,15,7,2,41
4.281332398719396e-06,15,5,3,30
4.281332398719396e-06,31,26,1,50
4.281332398719396e-06,31,11,4,32
4.281332398719396e-06,63,57,1,7
4.281332398719396e-06,63,39,5,36
4.281332398719396e-06,127,120,1,9
4.281332398719396e-06,127,50,6,14
6.951927961775606e-06,7,4,1,31
6.951927961775606e-06,15,11,1,32
6.951927961775606e-06,15,7,2,39
6.951927961775606e-06,15,5,3,30
6.951927961775606e-06,31,26,1,49
6.951927961775606e-06,31,11,4,30
6.951927961775606e-06,63,57,1,12
6.951927961775606e-06,63,39,5,36
6.951927961775606e-06,127,120,1,4
6.951927961775606e-06,127,50,6,14
1.1288378916846883e-05,7,4,1,30
1.1288378916846883e-05,15,11,1,33
1.1288378916846883e-05,15,7,2,41
1.1288378916846883e-05,15,5,3,30
1.1288378916846883e-05,31,26,1,47
1.1288378916846883e-05,31,11,4,35
1.1288378916846883e-05,63,57,1,18
1.1288378916846883e-05,63,39,5,36
1.1288378916846883e-05,127,120,1,10
1.1288378916846883e-05,127,50,6,14
1.8329807108324375e-05,7,4,1,33
1.8329807108324375e-05,15,11,1,33
1.8329807108324375e-05,15,7,2,43
1.8329807108324375e-05,15,5,3,30
1.8329807108324375e-05,31,26,1,55
1.8329807108324375e-05,31,11,4,30
1.8329807108324375e-05,63,57,1,5
1.8329807108324375e-05,63,39,5,36
1.8329807108324375e-05,127,120,1,7
1.8329807108324375e-05,127,50,6,14
2.9763514416313192e-05,7,4,1,31
2.9763514416313192e-05,15,11,1,35
2.9763514416313192e-05,15,7,2,40
2.9763514416313192e-05,15,5,3,33
2.9763514416313192e-05,31,26,1,48
2.9763514416313192e-05,31,11,4,30
2.9763514416313192e-05,63,57,1,5
2.9763514416313192e-05,63,39,5,36
2.9763514416313192e-05,127,120,1,8
2.9763514416313192e-05,127,50,6,14
4.8329302385717524e-05,7,4,1,29
4.8329302385717524e-05,15,11,1,36
4.8329302385717524e-05,15,7,2,40
4.8329302385717524e-05,15,5,3,30
4.8329302385717524e-05,31,26,1,52
4.8329302385717524e-05,31,11,4,29
4.8329302385717524e-05,63,57,1,13
4.8329302385717524e-05,63,39,5,33
4.8329302385717524e-05,127,120,1,9
4.8329302385717524e-05,127,50,6,14
7.847599703514606e-05,7,4,1,31
7.847599703514606e-05,15,11,1,32
7.847599703514606e-05,15,7,2,40
7.847599703514606e-05,15,5,3,31
7.847599703514606e-05,31,26,1,52
7.847599703514606e-05,31,11,4,30
7.847599703514606e-05,63,57,1,10
7.847599703514606e-05,63,39,5,35
7.847599703514606e-05,127,120,1,8
7.847599703514606e-05,127,50,6,14
0.00012742749857031334,7,4,1,32
0.00012742749857031334,15,11,1,31
