BER,n,k,t,Bit Errors
1e-06,7,4,1,143
1e-06,15,11,1,154
1e-06,15,7,2,143
1e-06,15,5,3,115
1e-06,31,26,1,151
1e-06,31,11,4,150
1e-06,63,57,1,101
1e-06,63,39,5,167
1e-06,127,120,1,159
1e-06,127,50,6,66
1.6237767391887209e-06,7,4,1,142
1.6237767391887209e-06,15,11,1,164
1.6237767391887209e-06,15,7,2,144
1.6237767391887209e-06,15,5,3,115
1.6237767391887209e-06,31,26,1,157
1.6237767391887209e-06,31,11,4,148
1.6237767391887209e-06,63,57,1,108
1.6237767391887209e-06,63,39,5,164
1.6237767391887209e-06,127,120,1,159
1.6237767391887209e-06,127,50,6,66
2.6366508987303555e-06,7,4,1,153
2.6366508987303555e-06,15,11,1,151
2.6366508987303555e-06,15,7,2,145
2.6366508987303555e-06,15,5,3,118
2.6366508987303555e-06,31,26,1,155
2.6366508987303555e-06,31,11,4,148
2.6366508987303555e-06,63,57,1,142
2.6366508987303555e-06,63,39,5,152
2.6366508987303555e-06,127,120,1,210
2.6366508987303555e-06,127,50,6,66
4.281332398719396e-06,7,4,1,140
4.281332398719396e-06,15,11,1,150
4.281332398719396e-06,15,7,2,144
4.281332398719396e-06,15,5,3,115
4.281332398719396e-06,31,26,1,150
4.281332398719396e-06,31,11,4,153
4.281332398719396e-06,63,57,1,102
4.281332398719396e-06,63,39,5,169
4.281332398719396e-06,127,120,1,153
4.281332398719396e-06,127,50,6,66
6.951927961775606e-06,7,4,1,141
6.951927961775606e-06,15,11,1,152
6.951927961775606e-06,15,7,2,148
6.951927961775606e-06,15,5,3,116
6.951927961775606e-06,31,26,1,172
6.951927961775606e-06,31,11,4,150
6.951927961775606e-06,63,57,1,99
6.951927961775606e-06,63,39,5,165
6.951927961775606e-06,127,120,1,157
6.951927961775606e-06,127,50,6,87
1.1288378916846883e-05,7,4,1,143
1.1288378916846883e-05,15,11,1,153
1.1288378916846883e-05,15,7,2,145
1.1288378916846883e-05,15,5,3,115
1.1288378916846883e-05,31,26,1,159
1.1288378916846883e-05,31,11,4,148
1.1288378916846883e-05,63,57,1,106
1.1288378916846883e-05,63,39,5,168
1.1288378916846883e-05,127,120,1,162
1.1288378916846883e-05,127,50,6,93
1.8329807108324375e-05,7,4,1,148
1.8329807108324375e-05,15,11,1,158
1.8329807108324375e-05,15,7,2,144
1.8329807108324375e-05,15,5,3,121
1.8329807108324375e-05,31,26,1,155
1.8329807108324375e-05,31,11,4,150
1.8329807108324375e-05,63,57,1,108
1.8329807108324375e-05,63,39,5,161
1.8329807108324375e-05,127,120,1,158
1.8329807108324375e-05,127,50,6,95
2.9763514416313192e-05,7,4,1,146
2.9763514416313192e-05,15,11,1,159
2.9763514416313192e-05,15,7,2,145
2.9763514416313192e-05,15,5,3,118
2.9763514416313192e-05,31,26,1,157
2.9763514416313192e-05,31,11,4,148
2.9763514416313192e-05,63,57,1,88
2.9763514416313192e-05,63,39,5,153
2.9763514416313192e-05,127,120,1,152
2.9763514416313192e-05,127,50,6,66
4.8329302385717524e-05,7,4,1,141
4.8329302385717524e-05,15,11,1,169
4.8329302385717524e-05,15,7,2,144
4.8329302385717524e-05,15,5,3,116
4.8329302385717524e-05,31,26,1,160
4.8329302385717524e-05,31,11,4,155
4.8329302385717524e-05,63,57,1,131
4.8329302385717524e-05,63,39,5,159
4.8329302385717524e-05,127,120,1,156
4.8329302385717524e-05,127,50,6,91
7.847599703514606e-05,7,4,1,143
7.847599703514606e-05,15,11,1,159
7.847599703514606e-05,15,7,2,149
7.847599703514606e-05,15,5,3,113
7.847599703514606e-05,31,26,1,164
7.847599703514606e-05,31,11,4,150
7.847599703514606e-05,63,57,1,92
7.847599703514606e-05,63,39,5,164
7.847599703514606e-05,127,120,1,161
7.847599703514606e-05,127,50,6,91
0.00012742749857031334,7,4,1,140
0.00012742749857031334,15,11,1,161
0.00012742749857031334,15,7,2,149
0.00012742749857031334,15,5,3,114
0.00012742749857031334,31,26,1,159
0.00012742749857031334,31,11,4,148
0.00012742749857031334,63,57,1,95
0.00012742749857031334,63,39,5,167
0.00012742749857031334,127,120,1,171
0.00012742749857031334,127,50,6,99
0.00020691380811147902,7,4,1,149
0.00020691380811147902,15,11,1,153
0.00020691380811147902,15,7,2,151
0.00020691380811147902,15,5,3,115
0.00020691380811147902,31,26,1,158
0.00020691380811147902,31,11,4,149
0.00020691380811147902,63,57,1,99
0.00020691380811147902,63,39,5,160
0.00020691380811147902,127,120,1,161
0.00020691380811147902,127,50,6,66
0.0003359818286283781,7,4,1,143
0.0003359818286283781,15,11,1,156
0.0003359818286283781,15,7,2,143
0.0003359818286283781,15,5,3,114
0.0003359818286283781,31,26,1,161
0.0003359818286283781,31,11,4,150
0.0003359818286283781,63,57,1,101
0.0003359818286283781,63,39,5,159
0.0003359818286283781,127,120,1,167
0.0003359818286283781,127,50,6,66
