BER,n,k,t,Bit Errors
1.8329807108324375e-05,15,7,2,144
1.8329807108324375e-05,15,5,3,114
1.8329807108324375e-05,31,26,1,146
1.8329807108324375e-05,31,11,4,150
1.8329807108324375e-05,63,57,1,82
1.8329807108324375e-05,63,39,5,158
1.8329807108324375e-05,127,120,1,142
1.8329807108324375e-05,127,50,6,66
2.9763514416313192e-05,7,4,1,140
2.9763514416313192e-05,15,11,1,150
2.9763514416313192e-05,15,7,2,144
2.9763514416313192e-05,15,5,3,114
2.9763514416313192e-05,31,26,1,146
2.9763514416313192e-05,31,11,4,150
2.9763514416313192e-05,63,57,1,82
2.9763514416313192e-05,63,39,5,158
2.9763514416313192e-05,127,120,1,142
2.9763514416313192e-05,127,50,6,66
4.8329302385717524e-05,7,4,1,140
4.8329302385717524e-05,15,11,1,150
4.8329302385717524e-05,15,7,2,144
4.8329302385717524e-05,15,5,3,114
4.8329302385717524e-05,31,26,1,146
4.8329302385717524e-05,31,11,4,150
4.8329302385717524e-05,63,57,1,82
4.8329302385717524e-05,63,39,5,158
4.8329302385717524e-05,127,120,1,142
4.8329302385717524e-05,127,50,6,66
7.847599703514606e-05,7,4,1,140
7.847599703514606e-05,15,11,1,150
7.847599703514606e-05,15,7,2,144
7.847599703514606e-05,15,5,3,114
7.847599703514606e-05,31,26,1,146
7.847599703514606e-05,31,11,4,150
7.847599703514606e-05,63,57,1,82
7.847599703514606e-05,63,39,5,158
7.847599703514606e-05,127,120,1,142
7.847599703514606e-05,127,50,6,66
0.00012742749857031334,7,4,1,140
0.00012742749857031334,15,11,1,150
0.00012742749857031334,15,7,2,144
0.00012742749857031334,15,5,3,114
0.00012742749857031334,31,26,1,146
0.00012742749857031334,31,11,4,150
0.00012742749857031334,63,57,1,82
0.00012742749857031334,63,39,5,158
0.00012742749857031334,127,120,1,142
0.00012742749857031334,127,50,6,66
0.00020691380811147902,7,4,1,139
0.00020691380811147902,15,11,1,150
0.00020691380811147902,15,7,2,144
0.00020691380811147902,15,5,3,114
0.00020691380811147902,31,26,1,146
0.00020691380811147902,31,11,4,150
0.00020691380811147902,63,57,1,82
0.00020691380811147902,63,39,5,158
0.00020691380811147902,127,120,1,142
0.00020691380811147902,127,50,6,66
0.0003359818286283781,7,4,1,140
0.0003359818286283781,15,11,1,150
0.0003359818286283781,15,7,2,144
0.0003359818286283781,15,5,3,114
0.0003359818286283781,31,26,1,146
0.0003359818286283781,31,11,4,150
0.0003359818286283781,63,57,1,82
0.0003359818286283781,63,39,5,158
0.0003359818286283781,127,120,1,142
0.0003359818286283781,127,50,6,91
0.0005455594781168515,7,4,1,140
0.0005455594781168515,15,11,1,150
0.0005455594781168515,15,7,2,144
0.0005455594781168515,15,5,3,114
0.0005455594781168515,31,26,1,146
0.0005455594781168515,31,11,4,150
0.0005455594781168515,63,57,1,82
0.0005455594781168515,63,39,5,158
0.0005455594781168515,127,120,1,142
0.0005455594781168515,127,50,6,66
0.0008858667904100823,7,4,1,140
0.0008858667904100823,15,11,1,150
0.0008858667904100823,15,7,2,144
0.0008858667904100823,15,5,3,114
0.0008858667904100823,31,26,1,146
0.0008858667904100823,31,11,4,150
0.0008858667904100823,63,57,1,82
0.0008858667904100823,63,39,5,158
0.0008858667904100823,127,120,1,142
0.0008858667904100823,127,50,6,66
0.0014384498882876629,7,4,1,140
0.0014384498882876629,15,11,1,150
0.0014384498882876629,15,7,2,144
0.0014384498882876629,15,5,3,114
0.0014384498882876629,31,26,1,146
0.0014384498882876629,31,11,4,150
0.0014384498882876629,63,57,1,85
0.0014384498882876629,63,39,5,158
0.0014384498882876629,127,120,1,142
0.0014384498882876629,127,50,6,66
0.002335721469090121,7,4,1,140
0.002335721469090121,15,11,1,150
0.002335721469090121,15,7,2,144
0.002335721469090121,15,5,3,114
0.002335721469090121,31,26,1,156
0.002335721469090121,31,11,4,151
0.002335721469090121,63,57,1,82
0.002335721469090121,63,39,5,158
0.002335721469090121,127,120,1,146
0.002335721469090121,127,50,6,66
0.003792690190732246,7,4,1,140
0.003792690190732246,15,11,1,150
0.003792690190732246,15,7,2,144
0.003792690190732246,15,5,3,114
0.003792690190732246,31,26,1,146
0.003792690190732246,31,11,4,150
0.003792690190732246,63,57,1,87
0.003792690190732246,63,39,5,158
0.003792690190732246,127,120,1,142
0.003792690190732246,127,50,6,66
0.00615848211066026,7,4,1,140
0.00615848211066026,15,11,1,148
0.00615848211066026,15,7,2,147
0.00615848211066026,15,5,3,114
0.00615848211066026,31,26,1,146
0.00615848211066026,31,11,4,150
0.00615848211066026,63,57,1,82
0.00615848211066026,63,39,5,158
0.00615848211066026,127,120,1,142
0.00615848211066026,127,50,6,66
0.01,7,4,1,141
0.01,15,11,1,150
0.01,15,7,2,145
0.01,15,5,3,114
0.01,31,26,1,145
0.01,31,11,4,150
0.01,63,57,1,85
0.01,63,39,5,158
0.01,127,120,1,141
0.01,127,50,6,66
