BER,n,k,t,Bit Errors
1e-06,7,4,1,140
1e-06,15,11,1,150
1e-06,15,7,2,144
1e-06,15,5,3,114
1e-06,31,26,1,146
1e-06,31,11,4,150
1e-06,63,57,1,82
1e-06,63,39,5,158
1e-06,127,120,1,142
1e-06,127,50,6,66
1.6237767391887209e-06,7,4,1,140
1.6237767391887209e-06,15,11,1,150
1.6237767391887209e-06,15,7,2,144
1.6237767391887209e-06,15,5,3,114
1.6237767391887209e-06,31,26,1,146
1.6237767391887209e-06,31,11,4,150
1.6237767391887209e-06,63,57,1,82
1.6237767391887209e-06,63,39,5,158
1.6237767391887209e-06,127,120,1,142
1.6237767391887209e-06,127,50,6,66
2.6366508987303555e-06,7,4,1,140
2.6366508987303555e-06,15,11,1,150
2.6366508987303555e-06,15,7,2,144
2.6366508987303555e-06,15,5,3,114
2.6366508987303555e-06,31,26,1,146
2.6366508987303555e-06,31,11,4,150
2.6366508987303555e-06,63,57,1,82
2.6366508987303555e-06,63,39,5,158
2.6366508987303555e-06,127,120,1,142
2.6366508987303555e-06,127,50,6,66
4.281332398719396e-06,7,4,1,140
4.281332398719396e-06,15,11,1,150
4.281332398719396e-06,15,7,2,144
4.281332398719396e-06,15,5,3,114
4.281332398719396e-06,31,26,1,146
4.281332398719396e-06,31,11,4,150
4.281332398719396e-06,63,57,1,82
4.281332398719396e-06,63,39,5,158
4.281332398719396e-06,127,120,1,142
4.281332398719396e-06,127,50,6,66
6.951927961775606e-06,7,4,1,140
6.951927961775606e-06,15,11,1,150
6.951927961775606e-06,15,7,2,144
6.951927961775606e-06,15,5,3,114
6.951927961775606e-06,31,26,1,146
6.951927961775606e-06,31,11,4,150
6.951927961775606e-06,63,57,1,82
6.951927961775606e-06,63,39,5,158
6.951927961775606e-06,127,120,1,142
6.951927961775606e-06,127,50,6,66
1.1288378916846883e-05,7,4,1,140
1.1288378916846883e-05,15,11,1,150
1.1288378916846883e-05,15,7,2,144
1.1288378916846883e-05,15,5,3,114
1.1288378916846883e-05,31,26,1,146
1.1288378916846883e-05,31,11,4,150
1.1288378916846883e-05,63,57,1,82
1.1288378916846883e-05,63,39,5,158
1.1288378916846883e-05,127,120,1,142
1.1288378916846883e-05,127,50,6,66
1.8329807108324375e-05,7,4,1,140
1.8329807108324375e-05,15,11,1,150
